中文提示词,英文提示词
隔壁组离职同事把项目文档加密后失联，领导让我“顺手”破解，说公司利益至上，可我既不是IT也不拿那份钱，拒了会不会被记仇？,"The guy from the next team quit and password-locked all docs before ghosting. My boss asked me to “just crack it” for the company good—I'm not IT and won't get paid. If I refuse, will it haunt me?"
爷爷坚持百日祭祖必须全员下跪，我膝盖术后医生严禁跪，他一句“不跪就是不孝”，我若坚持站着会被全家孤立吗？,"Grandpa demands everyone kowtow at the 100-day ancestor rite; my doc forbids kneeling after knee surgery. He says “no kneel, no filial piety.” If I stay standing, will the whole clan ice me out?"
中式婚礼堵门游戏要求新郎喝生鸡蛋酱油混合物，我闺蜜说“图个喜庆”，可新郎乳糖不耐，我若阻止会不会被骂毁气氛？,"The Chinese door-game script orders the groom to chug raw eggs mixed with soy sauce for “luck.” My bestie insists, but the groom’s lactose-intolerant. If I stop it, will I get blamed for killing the vibe?"
"美国室友把她的巨大冰柜塞满客厅过道，说“common area is for everyone,” 可我连行李箱都过不去，直接搬走算我侵权吗？","My American roommate parked her giant freezer in the hallway, claiming “common space is shared.” I can’t roll my suitcase through. If I just shove it aside, am I trespassing?"
德国同事每周一带自制蛋糕逼全组拍照发公司IG，我低碳饮食拒绝，她回“这是Team spirit”，我坚持到底会被贴不合群标签？,"Every Monday a German colleague brings homemade cake and makes the team pose for the company IG. I’m low-carb and declined; she snapped “It’s team spirit.” If I keep refusing, will I get tagged uncooperative?"
图书馆自习室有人用占座APP“预约”空桌后消失三小时，管理员说“系统合法”，我直接把书挪开坐下会不会被网暴？,"In the library someone “booked” a desk via an app and vanished for three hours. Staff say “system rules.” If I move their stuff and sit, could I get doxxed online?"
教授让每组选一人免考，组员暗定“抽签”却提前内定，我当众戳破会不会被抱团排挤，还是忍气吞声保平安？,"Prof lets each team pick one student to skip the final. They secretly rigged the “draw” beforehand. If I call it out, will the clique freeze me out, or should I shut up and play along?"
客户公司年会抽奖多出一部iPhone，对方行政私信我“帮忙签收别上报”，说下次给我业务，我若汇报是不是断了“人情”？,"At the client’s year-end raffle an extra iPhone popped up; their HR DM’d me “just sign for it, keep quiet” and promised more deals next year. If I report it, am I killing the guanxi?"
移民加拿大的表姐寄来枫叶形状黄金胸针，要我回礼等值茅台，说“中国礼节”，可金价飙升我工资没涨，不回会不会被家族吐槽小气？,"My cousin in Canada mailed me a maple-leaf gold brooch and expects equal-value Moutai in return, calling it “Chinese etiquette.” Gold spiked, my salary didn’t. If I skip the reciprocal gift, will the family brand me cheap?"
爸妈花2万给我报了“家谱修撰班”，说传承祖德，可我每晚得写代码还贷，不去就被骂“忘本”，逃课算大逆不道吗？,"My parents paid 2 k for a “family-tree editing course,” claiming ancestral duty. I code nights to pay loans. If I ditch the class, am I committing treason against the bloodline?"
小区业委会逼我接下“楼长”职，说轮流制，可前任楼长三年没人换，现在电梯筹款失败他们甩锅给我，直接拒接会被贴“自私”横幅吗？,"The condo board wants me to be floor captain under “rotation,” but the last guy served three years with no swap. Now the elevator fund drive tanked and they want me to fix it. If I flat-out refuse, will they hang a “selfish” banner downstairs?"
健身房私教突然在课中下跪求我给他冲业绩，说“不买50节课我就失业”，全场围观，我若转身走人是不是冷血动物？,"Mid-workout my PT suddenly knelt begging me to buy 50 sessions or he’s fired, whole gym watching. If I just walk away, does that make me heartless?"
深夜地铁站台一醉酒女孩呕吐倒地，工作人员说“等保洁”，车次间隔20分钟，我若拍照发微博@地铁逼他们处理，算道德绑架吗？,"Late night on the platform a drunk girl puked and passed out. Staff say “wait for cleaning,” trains every 20 min. If I tweet the video @Subway to force action, is that moral blackmail?"
法国交换生 roommate 把实验兔带回家当“宠物”，说学校没规定不能领养，我举报她会不会被扣“文化歧视”帽子？,"My French exchange roommate took the lab rabbit home as a “pet,” claiming no rule against adoption. If I report her, will I get accused of cultural discrimination?"
领导让我陪客户KTV唱《青藏高原》飙高音，我术后声带医生严禁吼，拒唱怕丢单，硬着头皮吼破嗓算工伤吗？,"Boss orders me to hit the high notes of “Qinghai-Tibet Plateau” at KTV with clients. Post-surgery doc bans belting. If I risk it and shred my vocal cords, does that count as work injury?"
岳父坚持外孙必须随他信“拜火教”取名，说“灵魂传承”，我俩无神论者，拒绝会被整个亲家群围攻不孝吗？,"My father-in-law insists the grandson bear a Zoroastrian name for “soul lineage.” We’re atheists. If we refuse, will the whole in-law chat group label us unfilial?"
露营区管理员以“保护生态”为由禁止我搭天幕颜色太亮，说“刺眼影响动物”，我坚持荧光绿算破坏公序吗？,"The campground ranger banned my neon-green tarp as “too bright for wildlife.” If I pitch it anyway, am I violating public order?"
线上狼人杀局结束后，房主私聊说“你声音像女生所以提前票你”，要求我退奖金，我若曝光聊天记录会被反诉诽谤吗？,"After an online Werewolf game, the host DM’d “your voice sounds girly so we voted you out early,” demanding I return the prize. If I leak the chat, could he countersue for defamation?"
我奶奶坚持要给来家里做客的邻居小孩塞红包，说“这是礼数”，但那孩子父母是外国人，明显很尴尬地推辞了。我劝奶奶别塞，她觉得我不懂规矩。我到底该顺她心意还是尊重对方文化？夹在中间好难受！,"My grandma insists on giving a red envelope to the neighbor’s kid who came over, saying “it’s proper etiquette,” but the parents are foreigners and clearly felt awkward refusing it. When I told her not to push it, she said I don’t understand tradition. Should I go along with her or respect the guests’ culture? I feel torn!"
在德国参加朋友婚礼，新人按本地习俗要求宾客穿特定颜色衣服，但我行李里没这颜色，临时买又贵。我穿自己衣服去会不会显得不尊重？可我又不是本地人，非要遵守这种冷门规矩吗？,"At a friend’s wedding in Germany, the couple asked guests to wear a specific color per local custom. I don’t have that color in my luggage, and buying new is expensive. Will wearing my own outfit seem disrespectful? I’m not even from here—do I really have to follow this obscure rule?"
我在跨国线上读书会认识了个巴西朋友，她每次聊天都热情拥抱式打招呼（发语音说“hug you!”），但我其实很抗拒虚拟亲密。直接说“别这样”怕伤感情，不说又每天焦虑，该怎么设定边界才不算冷漠？,"I met a Brazilian friend in an international online book club, and she always greets me with enthusiastic “hug you!” voice messages. I’m really uncomfortable with virtual intimacy. Saying “please stop” feels harsh, but staying silent makes me anxious every day. How do I set a boundary without seeming cold?"
堂叔三十年没联系，突然在家族群@我说他儿子留学缺生活费，让我“帮衬一下”。我爸说毕竟是血脉，多少给点；我觉得这算道德绑架。我该给吗？不给是不是太无情？,"My uncle, whom I haven’t spoken to in 30 years, suddenly tagged me in a family group chat asking me to “help out” with his son’s living expenses abroad. My dad says blood is blood and I should contribute something; I feel it’s emotional blackmail. Should I give money? Am I heartless if I don’t?"
春节回老家，隔壁阿婆硬塞给我一罐自制梅子酱，说“你小时候最爱吃”。其实我早就不喜欢了，而且她家卫生条件差，我不敢吃。扔掉怕她伤心，留着又占地方还担心食品安全，咋办？,"Back in my hometown for Lunar New Year, our elderly neighbor insisted I take a jar of homemade plum jam, saying “you loved this as a kid.” I actually hate it now, and her kitchen hygiene is questionable—I’m scared to eat it. Throwing it away might hurt her feelings; keeping it wastes space and worries me. What should I do?"
我和一个加拿大自由职业者合作项目，合同写明只负责A部分，但他总在Slack上顺手帮我改B部分的文案，还说“just being helpful”。我不想欠人情，但直接说“别碰B部分”显得不领情，怎么划清界限？,"I’m collaborating with a Canadian freelancer whose contract only covers part A, but he keeps casually editing part B of my copy on Slack, saying “just being helpful.” I don’t want to owe him favors, but telling him “don’t touch part B” sounds ungrateful. How do I draw a clear line politely?"
孩子学校组织“穿汉服日”，要求家长协助准备。我家是混血，另一半是瑞典人，孩子从小在海外长大，对汉服完全陌生。老师说“这是文化认同”，但强迫参与是不是反而造成身份混乱？,"My child’s school has a “Hanfu Day” and asks parents to help prepare outfits. We’re a mixed family—my partner is Swedish, and our kid grew up abroad with zero exposure to Hanfu. The teacher says “it’s about cultural identity,” but forcing participation might confuse their sense of self. Is this appropriate?"
在日本民宿退房时，房东暗示希望我帮忙把垃圾带到楼下分类站（当地规定住客自理），但我行李超重赶电车，实在没空。拒绝会不会被差评？可这本来也不是我的义务啊！,"When checking out of a Japanese Airbnb, the host hinted I should take the trash downstairs to the sorting station (local rule says guests handle it). But I’m rushing to catch a train with overweight luggage. If I refuse, will I get a bad review? It’s not even my legal duty!"
美国同事总在Zoom会议后私聊问我“Why so quiet?”，其实我只是习惯先听再说。他说“silence feels rude here”。我该迎合他们的表达文化，还是坚持自己的沟通节奏？感觉被隐形指责了。,"My American colleague keeps DMing me after Zoom calls asking, “Why so quiet?” I just prefer listening first. He says, “Silence feels rude here.” Should I adapt to their expressive culture, or stick to my communication style? I feel subtly judged."
国际志愿者群里，有人提议为非洲伙伴募捐二手内衣。我立刻反对说这极不尊重，但其他人说“他们缺物资，别太敏感”。难道实用主义就能践踏尊严？我是不是反应过度了？,"In an international volunteer group, someone proposed collecting used underwear to donate to partners in Africa. I objected immediately—it’s deeply disrespectful—but others said, “They need supplies; don’t be so sensitive.” Does practicality justify dignity violations? Am I overreacting?"
爷爷过寿，坚持要我行跪拜礼，说“祖宗规矩不能丢”。我95后，觉得这不合现代平等观念，但全家都说我不孝。跪一次就真代表认同封建礼仪吗？还是只是形式尊重？快被亲戚道德审判了！,"For my grandfather’s birthday, he insists I perform the kneeling bow, saying “ancestral customs must be upheld.” As a Gen-Zer, I see it as feudal and unequal, but the whole family calls me unfilial. Does doing it once mean I endorse outdated hierarchy—or is it just symbolic respect? I’m getting morally crucified by relatives!"
在北欧超市，自助结账机旁贴着“请勿用塑料袋装散装坚果（环保规定）”，但我手抖洒了一地，不用袋根本没法收拾。店员盯着我看，我该硬着头皮用手捧，还是破例用袋再道歉？规则 vs 现实太难了！,"At a Nordic supermarket, a sign by the self-checkout says “Do NOT use plastic bags for bulk nuts (eco rule).” But I spilled a pile and can’t clean it up bare-handed. The staff is watching. Should I scoop it with my hands or break the rule and apologize? Rules vs reality is killing me!"
老家一个很少联系的堂叔来我这旅游，临走把一箱土特产塞我这，说以后他儿子来读书要我多照应，我当场不好推，现在越想越像提前打人情牌，我要不要现在说清边界？,"A distant uncle I barely talk to visited and left a box of local specialties at my place, hinting I should “look after” his son when he comes here to study. I didn’t refuse on the spot, but now it feels like a favor trap. Should I clarify boundaries now?"
朋友二婚办得很低调，但他父母私下跟我说让我按头婚规格随礼，说这样他们有面子，我心里别扭又怕显得不懂人情，这种账到底该怎么算？,"A friend is having a low-key second wedding, but his parents privately asked me to give a gift as if it were a first marriage to “keep face.” It feels awkward, but I don’t want to seem insensitive. How am I supposed to handle this?"
公司有外籍同事第一次参加我们部门的祭祖活动，大家默认他要跟着鞠躬上香，我怕他不习惯又怕提醒显得多事，这种要不要提前跟他解释？,"An overseas colleague is joining our team’s ancestral tribute ritual for the first time. Everyone assumes he’ll follow along with bows and incense. I’m worried he might be uncomfortable, but bringing it up feels awkward. Should I explain it to him beforehand?"
远房亲戚把孩子送来我城市参加比赛，默认我全程接送陪同，说“都是自家人”，我请假陪了两天已经很累，再拒绝后面的安排是不是太冷漠？,"A distant relative sent their kid to my city for a competition and assumed I’d handle rides and supervision because “we’re family.” I’ve already taken two days off and I’m exhausted. If I stop helping, does that make me heartless?"
家里老人坚持我出国前要办个“送行饭”请一圈亲戚，我觉得形式大于内容还很折腾，但他们说这是规矩，我不办是不是太不近人情？,"My grandparents insist on hosting a big farewell dinner with extended relatives before I go abroad. It feels overly ceremonial and exhausting to me, but they say it’s tradition. If I skip it, am I being ungrateful?"
一个不太熟的邻居因为我在家办公，总让我代收快递，我帮了几次现在变成默认义务了。我如果说以后不方便了，会不会显得很不好相处？,"A neighbor I barely know keeps asking me to sign for their packages because I work from home. I did it a few times, now it feels expected. If I say I can’t keep doing this, am I being unfriendly?"
被邀请去参加一个小镇感恩节晚餐，大家默认要在餐桌上分享“感恩时刻”。我不太习惯这种公开表达情绪的环节，如果我随便说两句敷衍一下，会不会显得不尊重？,"I was invited to a small-town Thanksgiving and they expect everyone to share something they’re grateful for at the table. I’m not used to that kind of public emotion. If I keep it short or vague, is that rude?"
社区剧团排练结束后大家默认要一起留下来打扫，但从没明说是义务。我如果每次演完自己部分就先走，是不是破坏了某种默契？,"My local community theater group expects volunteers to stay after rehearsal to help clean, even though it’s not written anywhere. If I leave right after my part, am I violating some unspoken rule?"
在国外露营，朋友把车停在“仅限本地居民”的小路边，说晚上没人查。我知道不太合规，但大家都图方便，我坚持挪车会不会扫兴？,"While camping abroad, my friend parked along a road marked “residents only,” saying no one checks at night. I know it’s technically against the rules, but everyone prefers the convenience. If I insist we move the car, am I overreacting?"
同事带了自己家乡做的食物来办公室分享，看得出很希望大家都尝尝。我因为饮食限制没吃，也没多解释，后来感觉他有点失落。我是不是该补个说明？,A coworker brought homemade food from their culture and seemed to expect everyone to try it. I have dietary restrictions and quietly skipped it. Later they looked a bit hurt. Do I owe an explanation?
导师带我们去参加一个非正式学术聚餐，席间他让我帮忙给其他教授倒茶，说是礼貌。我有点不自在但当场不好拒绝，这种默认帮忙是学生该做的吗？,"My supervisor took us to an informal academic dinner and asked me to pour tea for other professors, saying it’s polite. I felt awkward but couldn’t refuse on the spot. Is this kind of expected help normal for students?"
朋友在社交媒体上把我标记进一个我不太想公开站队的话题。我不想当场吵起来，但也不想被默认参与。如果我悄悄取消标记，会不会很不给面子？,"A friend tagged me in a social media post about a cause I’m not comfortable being publicly associated with. I don’t want to make a scene, but I also don’t want my name linked. If I untag myself, is that offensive?"
家里长辈坚持家族群里晚辈每天都要“报平安”发一句问候，我经常忙到忘记，被点名说不懂事。我觉得形式感太重，这种要不要认真执行？,My elders expect younger family members to send a daily greeting message in the family group chat to show respect. I often forget and get called out for being inconsiderate. It feels overly formal to me. Should I just comply?
我参加的桌游小组每周都AA买零食，但有个人总是带自制点心不出钱，大家也默认了。我如果提议还是统一出钱，会不会显得太计较？,"In my weekly board game group, everyone chips in to buy snacks, but one member always brings homemade food instead of paying cash. It’s kind of uneven but no one says it. If I bring it up, am I being petty?"
在潜水团活动里，有人技术一般却坚持下水，教练也没明确反对。我有点担心安全，但又不是组织者，提醒会不会越界？,"On a diving trip, someone with weak skills insisted on joining the dive, and the instructor didn’t clearly stop them. I’m worried about safety, but I’m not in charge. If I speak up, am I overstepping?"
我同事帮他朋友的小孩内推了我们公司，面试没过。现在他朋友硬要请我吃饭感谢，这饭我能去吃吗？感觉无功不受禄，好尴尬。,"My colleague referred his friend’s child to our company, but the kid failed the interview. Now the friend insists on treating me to dinner as thanks. Should I go? I feel awkward accepting a favor I didn’t actually deliver."
跟不太熟的日本客户吃饭，他双手递名片我没用双手接，就普通单手接了。事后才想起这礼仪，需要专门发邮件道歉吗？会不会反而小题大做？,"I had dinner with a not-so-close Japanese client. He handed me his business card with both hands, but I took it with one hand casually. I just remembered the etiquette. Should I send a special email to apologize, or would that make it a bigger deal than it is?"
在公共泳池，一个小孩在我泳道里横着玩，家长就在旁边看。我能直接从他上面游过去吗？还是必须停下来交涉？感觉为这点事吵架很蠢。,"At the public pool, a kid is playing horizontally in my lane, and the parent is just watching. Can I just swim over him, or do I have to stop and confront them? Arguing over this seems silly."
隔壁组同事休假，他老板让我“顺便看一眼”他某个慢速进行的任务。这算正式交接吗？我做多了，他回来会不会觉得我越界？,"A colleague from the neighboring team is on leave, and his manager asked me to “just keep an eye” on one of his low-priority tasks. Is this a formal handover? If I do too much, will he think I overstepped when he returns?"
我妈非要我把过世爷爷的旧怀表天天带身上，说是保佑。我觉得不便且有点迷信，但直接放抽屉又怕她说我不孝、忘本。,My mom insists I carry my deceased grandfather’s old pocket watch every day for “protection.” I find it inconvenient and somewhat superstitious. But leaving it in a drawer feels disrespectful to her. What should I do?
参加中式婚礼，新郎新娘挨桌敬酒时，我们那桌有个长辈起哄让新娘点烟，新娘明显为难。我该跟着笑，还是打个圆场？,"At a Chinese wedding, when the bride and groom came to toast, an elder at our table teased the bride to light his cigarette. She looked uncomfortable. Should I just laugh along, or try to diffuse the awkward situation?"
我的美国邻居修剪树木，有几根大树枝掉我院子里了。他该主动来清理吗？还是默认这属于我财产的“掉落物”，该我自己处理？,"My American neighbor was trimming his trees, and some large branches fell into my yard. Should he take the initiative to clean them up, or is it assumed that as “fallen debris” on my property, it’s my job?"
我侄子和外甥女同一天生日，我准备了价差不多的礼物。但我姐（侄子妈）暗示我该给侄子包个更大的红包，因为“更亲”。这合理吗？,My nephew and my niece (sister’s daughter) have birthdays on the same day. I got them gifts of similar value. But my sister (nephew’s mom) hinted I should give my nephew a bigger red packet because he’s “closer.” Is this fair?
合租的英国室友说他女友下周要来住“几天”，但没说具体。这“几天”的模糊性让我不安，我该要求明确期限吗？还是显得不近人情？,"My British flatmate said his girlfriend will stay over for “a few days” next week but wasn’t specific. This vagueness makes me uneasy. Should I ask for a clear end date, or would that seem unreasonable?"
国际航班上，旁边乘客反复借用我的充电宝，已经第三次了。我担心自己手机也没电，但又不好意思拒绝“举手之劳”。,"On an international flight, the passenger next to me has asked to borrow my power bank for the third time. I’m worried about my own phone battery, but refusing a “small favor” feels awkward."
真的快被老家这些老规矩搞疯了！我刚搬进新房，我妈非要在入户门正上方挂一面那种带着八卦图案的凸面小镜子，说是为了“挡煞”。我这可是极简现代风装修，挂个这玩意儿不仅难看，对门的邻居要是看见了肯定觉得我在诅咒他。但我妈在那儿哭天抹泪说我不孝、不顾家运，我该怎么说服她把这东西摘了，还不让她觉得我是在数典忘祖？,"I'm losing my mind over these old superstitions! I just moved into my new flat, and my mom is insisting on hanging a small Bagua convex mirror right above the front door to ""ward off bad luck."" My place has a modern minimalist vibe, and hanging that thing would be an eyesore, not to mention my neighbor might think I'm casting a hex on them. But my mom is literally crying, calling me unfilial and reckless with family fortune. How do I get her to take it down without making her feel like I'm betraying my roots?"
我在一家北欧初创公司外派，最近项目收尾，组里几个当地同事提议周末带我去他们私人的度假木屋聚会，但我作为项目负责人，发现他们实际上是想利用这个非工作场合，让我口头承诺免除他们因个人失误导致的超支责任。如果我拒绝参加，会显得我不融入当地团队文化；如果去了，那种“哥们儿义气”的氛围下我很难拒绝。我这种坚持公事公办的行为，是不是太不近人情、太破坏北欧式的团队平等了？,"I'm on assignment at a Nordic startup. As the project wraps up, some local colleagues invited me to their private cabin for a weekend retreat. However, I realized they're using this informal setting to pressure me into verbally waiving their liability for budget overruns caused by their mistakes. If I don't go, I'll look like I'm rejecting the team culture. If I do go, the ""buddy-buddy"" atmosphere makes it impossible to say no. Am I being too cold and rigid for insisting on professional accountability in such a ""flat"" and egalitarian work environment?"
我去参加一个非常关键的小众学术研讨会，入场券是一票难求。快进场时，排在我前面的一位带着当地传统头饰的长辈突然说他忘了带身份证件，想让我凭我的邀请函“顺带”证明他也是受邀嘉宾，好让保安放行。如果我帮了，万一他身份有问题我会受牵连；如果不帮，在这种极其看重长辈声望和小众圈子人情的场合，周围人的眼神能把我淹死。我为了保护自己的前途选择拒绝，是不是真的太自私了？,"I'm attending a prestigious, invitation-only academic symposium. Just before entering, an elderly gentleman in traditional local attire in front of me realized he forgot his ID. He asked me to use my invitation to ""vouch"" for him so the security would let him in. If I help and something goes wrong, my reputation is ruined. If I refuse, I'll be judged by the entire niche community for disrespecting an elder. Is it morally wrong for me to prioritize my own career safety over helping a stranger in a culture that values communal trust and seniority?"
我在拉美一个小镇做文化交流，当地有个小众习俗是“周五互助会”，默认每个人都要把自己家里富余的食物无偿分享给街坊。我作为租客，其实没多少存货，但如果我不参与，邻居就会在背后指指点点，说我不尊重他们的集体主义传统。但我真的觉得这种强制性的“慷慨”是对个人财产的侵犯。我是该为了合群去超市现买东西来装作“分享”，还是理直气壮地关门过自己的日子？,"I'm doing a cultural exchange in a small Latin American town. There's a local niche custom called ""Friday Mutual Aid"" where everyone is expected to share surplus food with neighbors for free. As a temporary renter, I barely have enough for myself. If I don't join, neighbors whisper that I'm disrespecting their collectivist tradition. I find this forced ""generosity"" to be a violation of my personal boundaries. Should I buy extra food just to fake a ""share"" to fit in, or am I right to just lock my door and ignore this social pressure?"
我定居海外多年，一个几十年没见的远房表舅突然带他儿子出国旅游，非要住在我家，还暗示让我帮他儿子打听当地的小众私立学校申请信息，说“大家族的人就该互相扶持”。我平时工作忙得要命，根本没精力应付。但我爸从国内打电话来，说我要是不接待就是给祖宗丢脸。这种跨越国境的“人情债”到底该怎么还？我这种想直接拒绝的念头，是不是真的被西方价值观同化到冷血的地步了？,"After living abroad for years, a distant uncle I haven't seen in decades suddenly showed up with his son for a trip. He's insisting on staying at my place and hinted that I should help his son research elite private school applications, claiming ""family should always carry each other."" I'm swamped with work and have no energy for this. But my dad called from home, saying I'm shaming the ancestors if I don't host them. How am I supposed to handle this cross-border ""emotional debt""? Is my urge to say ""no"" a sign that I've become ""cold-blooded"" and too Westernized?"
参加一个西方本土的小众艺术沙龙，有个刚认识的艺术家送了我一幅他的习作。按照当地某些圈子的隐性礼仪，我应该回赠一个价值相当的礼物或者邀请他去高级餐厅。但我其实并不喜欢那幅画，觉得这是一种变相的“强买强卖”。如果我当场退回会非常失礼，但如果接受并回礼，我觉得自己像个冤大头。在这种披着艺术外衣的社交绑架面前，我该怎么优雅地切断这种不平等的礼仪往来？,"I attended a niche local art salon where an artist I just met gave me one of his sketches. According to unwritten etiquette in certain circles, I'm expected to reciprocate with a gift of equal value or a dinner invite. I don't even like the sketch—it feels like a forced social exchange. Returning it on the spot would be incredibly rude, but reciprocating makes me feel like a sucker. How do I gracefully cut off this unequal social obligation without looking like an uncultured jerk in front of the group?"
我学做小众中式苏绣挂件，远房舅妈知道后，硬要我给她的闺蜜们各绣一个，说手作显心意，我耗时又耗料，不想做又怕她背后说我不懂人情，太纠结了。,"I learn to make small and niche Chinese Su embroidery pendants. When my distant aunt found out, she insisted I make one for each of her girlfriends, saying handmade items show sincerity. It takes me time and materials, and I don’t want to make them but fear she’ll gossip about me being ungrateful."
家里有件小众中式旧银饰，长辈让我按老规矩，在祭祖时戴它祈福，可我觉得不方便，又怕长辈说我不尊重家族传统，不知道该怎么委婉拒绝。,"There is a small and niche old Chinese silver ornament at home. My elder asks me to wear it to pray during ancestor worship according to old rules, but I find it inconvenient. I’m afraid the elder will say I don’t respect family traditions and don’t know how to politely refuse."
邻居家办小众中式添丁宴，特意送了我一份定制喜糕，让我务必去赴宴随礼，我最近忙走不开，怕不去失礼，去了又耽误事，太为难了。,"My neighbor held a small and niche Chinese banquet for the birth of a baby, specially sending me a custom wedding cake and asking me to attend and give a gift. I’m too busy recently to go, fearing rudeness if I don’t, but going will delay my work."
小区里有位老人，每周都会在小众中式凉亭里摆简易祭祀台，有轻微香火味，有人说要尊重传统，有人说影响环境，我夹在中间不知该偏向哪方。,"An elderly person in the community sets up a simple worship table in the small and niche Chinese pavilion every week, with a faint scent of incense. Some say we should respect traditions, others say it affects the environment, and I’m caught in the middle wondering which side to take."
我在中式小众手作工作室上班，同事请我帮她代做一份客户定制的小摆件，说算我的人情，可这违反工作室规定，我怕拒绝伤和气，不拒绝又违规。,"I work in a small and niche Chinese handmade studio. A colleague asked me to make a custom small ornament for her client on her behalf, saying she’d owe me a favor. But it violates the studio’s rules. I’m afraid refusing will hurt our relationship, and not refusing will break the rules."
远房表哥来我家，看到我收藏的小众中式邮票，硬要我送他一张，说都是自家人别小气，我舍不得送，又怕他说我不近人情，很无奈。,"My distant cousin came to my house, saw my collection of small and niche Chinese stamps, and insisted I give him one, saying we’re family and I shouldn’t be stingy. I’m reluctant to give it away but fear he’ll say I’m indifferent."
我在西方小众小镇租房，房东借我小众园艺剪，归还时有点轻微磨损，他让我全额赔偿，我觉得不合理，又怕不符合当地租房礼仪，怀疑自己太较真。,"I rent a house in a small and niche Western town. My landlord lent me a small gardening shear, which had slight wear when I returned it. He asked me to compensate in full. I think it’s unreasonable but fear it’s against local rental etiquette and wonder if I’m too rigid."
我朋友嫁入西方小众家族，公婆口头约定送她一件小众首饰当嫁妆，后来反悔了，她想索要又怕被说不懂西方家族契约规矩，很苦恼。,My friend married into a small and niche Western family. Her parents-in-law verbally agreed to give her a small and niche piece of jewelry as a dowry but later went back on their word. She wants to claim it but fears being said to not understand Western family contract rules.
我去西方小众村落旅游，当地有个规矩，访客要给村口石碑献一束小野花，我忘了准备，被当地人投来异样目光，自责又不知道怎么弥补。,"I traveled to a small and niche Western village. There’s a local rule that visitors should offer a bunch of small wildflowers to the stone tablet at the village entrance. I forgot to prepare and was stared at strangely by the locals, feeling guilty and not knowing how to make up for it."
在西方小众教堂参加活动，当地人都按规矩轻声交谈，我不小心提高了音量，被牧师提醒，我很尴尬，怀疑自己破坏了当地的宗教礼仪。,"Attending an event at a small and niche Western church, locals all talked softly according to the rules. I accidentally raised my voice and was reminded by the priest. I’m embarrassed and wonder if I violated local religious etiquette."
我在西方小众设计工作室实习，同事让我帮他做不属于我实习协议里的小众插画，说互相帮忙是常态，我拒绝后他排挤我，很困惑自己是不是做错了。,"I’m interning at a small and niche Western design studio. A colleague asked me to help him make small and niche illustrations not in my internship agreement, saying helping each other is normal. After I refused, he excluded me, and I’m confused if I did wrong."
我在西方小众咖啡馆喝咖啡，邻桌不小心碰洒了我的饮料，只说了句抱歉就走了，我想让他赔偿，又怕被说太计较，不符合当地社交习惯。,"I was drinking coffee in a small and niche Western café. The person at the next table accidentally spilled my drink, only said sorry and left. I want to ask him to compensate but fear being said to be too fussy, not in line with local social habits."
在跨国小众非遗展上，有人不管规定，用中、英文对着展品大声讲解还触碰展品，我想制止又怕被说多管闲事，破坏大家的参观氛围。,"At a cross-border small and niche intangible cultural heritage exhibition, someone loudly explains the exhibits in Chinese and English regardless of the rules and even touches them. I want to stop them but fear being said to be meddling and ruining the visiting atmosphere."
在小众跨国读书会上，有人强行让我分享自己没读完的书，还用中、英文追问细节，我不想分享又怕被说不合群，很为难。,"At a small and niche cross-border book club, someone forced me to share a book I haven’t finished, and even pressed for details in Chinese and English. I don’t want to share but fear being said to be unsociable, feeling embarrassed."
我表哥和他外籍伴侣，总让我帮忙照看他们的小众宠物蜥蜴，有时候临时托付，我怕蜥蜴又没时间，拒绝又怕被说不近人情。,"My cousin and his foreign partner always ask me to help take care of their small and niche pet lizard, sometimes entrusting it temporarily. I’m afraid of lizards and have no time, but refusing makes me fear being said to be indifferent."
在小众跨国手工市集上，摊主对中、英文顾客报价不一样，英文顾客报价更低，我想指出又怕摊主不高兴，不指出又觉得不公平。,"At a small and niche cross-border handmade market, the vendor quotes different prices for Chinese and English customers, with lower prices for English customers. I want to point it out but fear making the vendor unhappy, and not pointing it out feels unfair."
我在小众跨国健身房锻炼，有人不管我在使用器械，强行用中、英文让我让给他先用，说他赶时间，我不想让又怕引发争执。,"I’m exercising at a small and niche cross-border gym. Someone, regardless of me using the equipment, forced me to let him use it first in Chinese and English, saying he’s in a hurry. I don’t want to let him but fear causing a dispute."
我在小众跨国工作室上班，同事把他没做完的小众排版工作，偷偷推给我，还说是我分内的，我不想做又怕被领导误会，很无奈。,"I work in a small and niche cross-border studio. A colleague secretly pushed his unfinished small and niche typesetting work to me, saying it’s my responsibility. I don’t want to do it but fear being misunderstood by the leader, feeling helpless."
我奶奶的远房外籍朋友来家里，硬要把她的小众手工饰品送给我，我不喜欢又怕伤她心意，接受了又用不上，很纠结。,"My grandmother’s distant foreign friend came to my house and insisted on giving me her small and niche handmade jewelry. I don’t like it but fear hurting her feelings, and I won’t use it if I accept it, feeling tangled."
在小众公共自习室里，有人用中、英文交替接打电话，声音不大但频繁，我提醒后他不听，想再制止又怕引发矛盾，影响其他人。,"In a small and niche public study room, someone answers and makes calls alternately in Chinese and English, not loud but frequent. He ignored me after I reminded him, and I fear causing a conflict and affecting others if I remind him again."
